Cod.,Ativo,3. Idade,4. Genero,5. Regiao,6. Estado,7. Cidade,8. Religiao,Religiao_codificado(8),9. Vinculo,10. Nome_da_ONG,11. Nome_da_CEUA,CEUA_unificada(11),12. Instituicao,13. Departamento,14. Natureza_Inst,15. Representante_SPA,16. Quant_membros_CEUA,17. No_licencas_recusadas,18. No_consultores_adhoc,19. Freq_cursos,20. Outros_encontros,21. Metodo_decisao,22. Periodicidade_das_reunioes,23. SPA_assume_relatoria,24. Opiniao_SPA_deve_assumir_relatoria,25. Justifique_dever_assumir_relatoria_aberta,Justifique_dever_assumir_relatoria_codificado(25),26. SPA_deve_ter_formacao,27. Justifique_SPA_deve_ter_formacao_aberta,Justifique_SPA_deve_ter_formacao_aberta_codificado(27),28. Papel_na_CEUA,Papel_na_CEUA_codificado(28),29. Area_formacao_academica,Area_formacao_academica_unificado(29),30. Escolaridade,31. Area_em_que_usa_animais_lista,32. Funcao_administrativa_na_CEUA,Funcao_administrativa_na_CEUA_codificado(32),33. Tempo_de_CEUA,"tempo_de_CEUA_em_anos_avg(33,34)",34. Tempo_de_CEUA_acima_4_anos,35. Conhecimento_formal_em_etica_escala,36. Ensino_de_etica_na_sua_formação_escala,37. Ensino_de_bem-estar_animal_na_sua_formacao_escala,38. Disciplinas_cursadas_na_graduacao_lista,Disciplinas_cursadas_no_Mestrado_lista,Disciplinas_cursadas_no_Doutorado_lista,Disciplinas_cursadas_na_Especialização_lista,Disciplinas_cursadas_em_Curso_de_Extensão_lista,39. Aptidao_para_avaliacoes_eticas_escala,40. Aptidao_para_avaliacoes_de_bem-estar_animal_escala,41. Dificuldade_em_compreender_protocolos,42. Necessidade_de_uso_de_modelos_animais_escala,43. Necessidade_de_uso_de_animais_na_alimentacao_escala,44. Experimentacao_animal_e_um_mal_necessario,45. Justifique_experimentacao_animal_ser_mal_necessario_aberta,Justifique_experimentacao_animal_ser_mal_necessario_codificado(45),46. Experimentos_cientificos_implicam_sofrimento_animal_escala,47. Na_avaliacao_de_danos_e_beneficios_o_que_e_importante_aberta,Na_avaliacao_de_danos_e_beneficios_o_que_e_importante_codificada(47),48. Formas_aceitaveis_de_uso_de_animais_lista,49. Grau_de_sofrimento_dos_animais_escala,50. Vegano_ou_vegetariano_binario,"51. Termos_sobre_o_papel_dos_animais
_fechada",52. Termo_sobre_o_papel_dos_animais_aberta,53. Vontade_para_manifestar_posicionamento,54. Sente-se_discriminado_nas_reunioes,55. Suas_colocacoes_sao_respeitadas,56. Ha_resistencia_as_suas_propostas,57. Demais_membros_atribuem_o_mesmo_nivel_de_preocupacao,58. Sente-se_estressado_nas_reunioes,59. Receio_de_aceitar_ou_rejeitar_protocolo,60. Membros_tem_receio_de_rejeitar_protocolos,61. Ao_avaliar_projeto_de_membro_ele_deve_se_ausentar,62. Membros_que_pesquisam_com_modelos_animais_minimizam_o_sofrimento_deles,63. O_quanto_a_CEUA_se_baseia_no_principio_dos_3Rs_escala,64. Comentario_sobre_CEUAs
46,True,Entre 41 e 50 anos,Feminino,Sudeste,SP,Ribeirão Preto,Catolicismo,2,Não,,CEUA-FCFRP-USP,USP_FCF_RP,USP,Faculdade de Ciências Farmacêuticas de Ribeirão Preto-USP,Pública,Não há representante da sociedade protetora de animais,Entre 10 e 14,20 ou mais,5,Frequentemente,Frequentemente,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Sim,"Acho q protetores podem relatar desde que tenham doutorado envolvendo uso de animais, ou seja, q sejam pessoas de notório saber.",3,Sim,Pelo fato de poderem relatar os processos (conforme apontado acima),1,Docente,3,Veterinária,Veterinária,Livre docência,Pesquisa básica,Coordenador,1,Acima de 4 anos,6,6 anos,5,2,1,Bem-estar animal,Bem-estar animal,Bem-estar animal,Nenhuma dessas disciplinas,"Bem-estar animal, Bioética, Ética animal, Ética em pesquisa",4,4,Frequentemente,5,5,Não,"Não é um mal, os animais representam avanço da ciência para descobertas fundamentais na saúde humana",1,0,"Para isso é necessário entrar no mérito do projeto, não há como avaliar danos/benefícios sem avaliar o mérito, e isso é muito polêmico dentro das CEUAs.",2,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Pesquisa básica, Pesquisa aplicada, Pesquisas agropecuárias",2,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Não,Raramente,5,
47,True,Entre 41 e 50 anos,Feminino,Centro-oeste,DF,Brasília,Ateismo ou agnosticismo,1,Não,,CEUA - UniCEUB,UNICEUB_FACES,UniCEUB- Centro Universitário de Brasilia,FACES - Faculdade de Ciências da Educação e Saúde,Privada,Não há representante da sociedade protetora de animais,Entre 5 e 9,Não sei dizer,3,Frequentemente,Raramente,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Não,"Vejo a figura desse representante como um consultor, somente",7,Não,"A Formação acadêmica não é relevante para esse representante, basta ter conhecimento e experiência na área",3,Biólogo (a),1,Ciências Biológicas- Bacharel e Licenciado,Ciências Biológicas,Mestrado,Não uso animais,Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,3,1,2,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Ética em pesquisa,5,5,Raramente,2,3,Não,Muitos testes que hoje são feitos em animais podem ser substituídos por protocolos experimentais in vitro,2,0,Para avaliar esse quesito o pesquisador deve ser mais detalhado possível sobre os procedimentos e suas vantagens e desvantagens,2,"Produção de alimentos/agropecuária, Pesquisa aplicada",1,Não,Não sei dizer,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Raramente,Raramente,Sim,Nunca,5,Não tenho comentários extras.
48,True,Entre 41 e 50 anos,Feminino,Sudeste,SP,Jaguariúna,Catolicismo,2,Não,,CEUA da Embrapa Meio Ambiente,EMBRAPA_MEIO AMBIENTE,Embrapa Meio Ambiente,Pesquisa,Pública,Não há representante da sociedade protetora de animais,Entre 5 e 9,1,0,Constantemente,Raramente,Votação e consenso,Uma vez a cada dois meses,Não há representante da sociedade protetora de animais,Não,"O avaliador precisa ter segurança e conhecimento científico na área para assumir relatoria de protocolo. Caso o representante da sociedade protetora dos animais comprove estes requisitos, então, seria a favor.",3,Sim,Acho importante para ambos os lados garantir que não serão constrangidos em avaliar ou ser avaliado.,1,Médico(a) Veterinário (a),5,Médica Veterinária,Veterinária,Doutorado,"Ensino, Testes de drogas, Testes toxicológicos, Vacinas/imunologia, Diagnóstico de doenças, Pesquisas agropecuárias, Pesquisa básica, Pesquisa aplicada",RT Veterinário,2,Acima de 4 anos,5,Há mais de 5 anos,3,3,4,"Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa","Bem-estar animal, Ética animal, Ética em pesquisa","Bem-estar animal, Ética animal, Ética em pesquisa",Ética em pesquisa,"Bem-estar animal, Etologia",3,4,Raramente,4,4,Não,"A experimentação animal é necessária, mas não necessariamente precisa ser ""mal"".",1,1,O bem-estar animal deve ter um peso maior do que o benefício.,8,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes de toxicidade, Pesquisa aplicada",2,Sim,Participantes de pesquisa,,4,Raramente,Frequentemente,Raramente,Frequentemente,Raramente,Raramente,Raramente,Não,Raramente,4,
49,True,Entre 41 e 50 anos,Feminino,Centro-oeste,MS,Campo Grande,Espiritismo,4,Não,,CEUA da UFMS,UFMA_INBIO,UFMS,INBIO-Instituto de Biociências,Pública,"Sim, titular e suplente",20 ou mais,3,5,Frequentemente,Raramente,Votação e consenso,Uma vez por mês,Sim,Sim,Acredito que tem competência igual.,4,Sim,Pra facilitar o entendimento dos protocolos e procedimentos com os animais.,1,Docente,3,Farmacêutica-Bioquímica,Farmácia,Doutorado,"Diagnóstico de doenças, Pesquisa básica, Manutenção de invertebrados, Manutenção de microorganismos",Vice-coordenador,4,Acima de 4 anos,7,7 anos,2,1,1,"Bioética, Ética em pesquisa","Bioética, Ética em pesquisa",Nenhuma dessas disciplinas,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,4,4,Raramente,3,3,Não,Não vejo como um mal! Acredito que em determinados experimentos é necessário o modelo animal.,1,2,O monitoramento criterioso dos experimentos. A comprovação científica de não haverá sofrimento ao animal.,2,"Produção de alimentos/agropecuária, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Pesquisas agropecuárias",1,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Sim,Nunca,4,Acho que é necessário ter uma CEUA participativa e confiável.
50,True,Entre 51 e 60 anos,Feminino,Sudeste,SP,São Paulo,Ateismo ou agnosticismo,1,Não,,IPEN,IPEN,CNEN - SP,CEBIO,Pública,"Sim, apenas titular",Entre 10 e 14,2,2,Raramente,Raramente,Votação e consenso,Uma vez por mês,Não,Não,Uso de termos técnicos e científicos necessários para maior clareza da relatoria.,1,Não,Restringe a participação da maioria das ONGs,5,Biólogo (a),1,Ciências Biológicas e Letras,Ciências Biológicas; Humanidades,Doutorado,Pesquisa básica,Não ocupo nenhuma função administrativa,2,Acima de 4 anos,9,9 anos,4,3,4,"Etologia, Ética animal, Ética em pesquisa, Filosofia moral, Direitos dos animais",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,"Bem-estar animal, Bioética",Nenhuma dessas disciplinas,4,4,Raramente,5,5,Sim,Não há até o momento substituto para alguns testes em animais e humanos.,6,4,Sempre precedida de testes in vitro.,4,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Zoológico, Pesquisas agropecuárias",3,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Sim,Nunca,5,
51,True,Entre 21 e 30 anos,Masculino,Sudeste,MG,Uberaba,Religiões afro-brasileiras,7,Não,,Comissão de Ética no Uso de Animais,UFTM_PROPPG,UFTM,PROPPG,Pública,"Sim, titular e suplente",20 ou mais,2,0,Raramente,Frequentemente,Votação e consenso,A cada quinze dias,Sim,Sim,"Desde que possua formação acadêmica necessária para analisar o projeto. No caso, em nossa Comissão, adota-se o Ensino Superior Completo na Área Biológica ou de Saúde.",3,Sim,"Alinhar conhecimento científico com conhecimento ético. Sem um dos dois pilares, não é possível analisar adequadamente projetos de pesquisa e ensino visualizando a prática. E na graduação, existem disciplinas em que é possível abordar questões éticas e o uso adequado de modelos animais mais usados em ambiente acadêmico de pesquisa.",1,Técnico de laboratório,4,Biomédico,Biomedicina,Graduação,"Manutenção de invertebrados, Criação de roedores para fins institucionais de pesquisa ou de ensino",Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,4,4,3,"Bioética, Ética animal, Ética em pesquisa",Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,"Etologia, Ética em pesquisa",Bem-estar animal,4,4,Raramente,5,3,Não sei dizer,"Depende do contexto de experimentação. Dependendo do projeto classificado como G1, o sofrimento talvez nem exista.",1,3,"Relevância científica, contribuição para saúde e ciência. Ausência de método alternativo. Metodologia de execução adequada, a fim de obter resultados fidedignos e com o menos viés possível. Uso de técnicas atualizadas (aprimoradas) de manejo e de drogas, a fim de proporcionar o maior bem estar animal possível dentro de cada contexto experimental. Detalhamento metodológico e observação dos riscos envolvidos pela equipe proponente.",3,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Pesquisas militares, Pesquisas agropecuárias",3,Sim,Sujeitos de pesquisa,,4,Raramente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Raramente,Raramente,Sim,Raramente,4,"Ausência de membros em reuniões que acaba prejudicando o pleito em determinadas ocasiões. Poderia haver alteração na legislação, concernente à possibilidade de haver não apenas um, mas dois membros suplentes para um mesmo membro titular. Necessidade de RNs que regulamentem melhor a forma de avaliação e de produção de animais para fins de ensino e pesquisa. Para isso, RNs que possam trazer detalhes e determinações mais específicas quanto à execução e protocolos envolvidos. Muitos debates ficam travados em detrimento da ausência legislativa nesse aspecto, atrasando o andamento geral dos trabalhos."
52,True,Entre 61 e 70 anos,Feminino,Sudeste,RJ,Rio de Janeiro,Catolicismo,2,Sim,SOS Animal - colaboradora,IV/UFRRJ,UFRRJ_IV,UFRRJ,Instituto de Veterinária,Pública,"Sim, apenas titular",Não sei dizer,Não sei dizer,0,Raramente,Raramente,Votação e consenso,A cada quinze dias,Sim,Sim,A relatoria deve ser realizada por um membro da CEUA que se sinta capaz de fazê-lo. Qualquer membro pode ser relator de qualquer proposta desde que se sinta capaz para tal.,6,Não,Ética não depende de Diploma.,3,Médico(a) Veterinário (a),5,Medicina Veterinária,Veterinária,Doutorado,"Ensino, Testes de drogas, Diagnóstico de doenças, Pesquisa aplicada",Não ocupo nenhuma função administrativa,2,Entre 1 ano e meio e 2 anos,1.75,,2,0,0,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Não fiz essa modalidade acadêmica,Nenhuma dessas disciplinas,4,4,Raramente,1,1,Não,"Considerar um mal necessário reduz o impacto da utilização de animais não humanos na pesquisa. Entretanto, reconheço que desenvolvemos nosso conhecimento utilizando esses animais e que deixar de utilizar essas metodologias reduziria a velocidade dos avanços da ciência biomédica. Mesmo assim, há muito a substituir em pouco tempo desde que se decida dedicar recursos (de todos os tipos) para tal. Me parece que muito difícil é fazer com que os produtores de insumos para utilização desses animais percam seus nichos de negócios.",3,5,"Sempre depende da perspectiva do observador. Se aqui  fosse proibido utilizar animais (para fazer qualquer coisa, inclusive o que já se sabe) apenas para ter um trabalho de conclusão de curso para apresentar já seria ótimo. Legislação sem fiscalização não funciona.",7,"Pesquisa aplicada, Ensino",2,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Raramente,Frequentemente,Nunca,Nunca,Raramente,Sim,Constantemente,4,Falta capacitação aos membros das CEUAs. Falta apoio por parte da administração central em quase todas as instituições brasileiras. Os dirigentes vêm as CEUAs como mal necessário.
53,True,Entre 31 e 40 anos,Masculino,Nordeste,CE,Sobral,Catolicismo,2,Não,,CEUA da Embrapa Caprinos e Ovinos,EMBRAPA_CNCP,Embrapa Caprinos e Ovinos,Chefia Geral,Pública,"Sim, titular e suplente",Entre 15 e 19,1,1,Nunca,Raramente,Votação e consenso,Uma vez por mês,Sim,Sim,"Entendi assumir relatoria como avaliar algum protocolo. Se for isso, creio que não haveria sentido a presença de tal representante, se não fosse para avaliar.",6,Não,"A princípio, não vejo impedimento, a não ser que o nível de instrução realmente seja muito baixo, a ponto de dificultar a análise do projeto e o preenchimento do formulário.",3,Estatístico,6,Bacharel em Estatística.,Estatística,Graduação,"Não uso animais, Apenas dou apoio à área de pesquisa da empresa.",Não ocupo nenhuma função administrativa,2,Acima de 4 anos,7,7 anos,3,1,0,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,3,3,Frequentemente,4,4,Sim,"Não tenho conhecimento teórico sobre o assunto. Mas é o que vejo com os pesquisadores da área. Apesar de haver casos em que os animais podem ser substituídos, há vários outros que se faz necessário o uso do modelo animal.",8,3,"No geral, creio que as determinações do CONCEA são satisfatórias e levam conta o que é importante para o bem-estar animal. E a CEUA que participo procura seguir tais determinações.",7,"Produção de alimentos/agropecuária, Pesquisa aplicada, Ensino, Pesquisas militares, Zoológico, Pesquisas agropecuárias",2,Não,Sujeitos de pesquisa,,3,Nunca,Frequentemente,Não sei dizer,Frequentemente,Raramente,Raramente,Nunca,Sim,Nunca,4,
54,True,Entre 41 e 50 anos,Feminino,Sudeste,MG,Viçosa,Catolicismo,2,Não,,Comissão de Ética no Uso de Animais - UFV,UFV_CCB,Universidade Federal de Viçosa,Instituto de Ciências Biológicas e da Saúde - CCB,Pública,"Sim, titular e suplente",20 ou mais,Não sei dizer,Não sei dizer,Raramente,Nunca,Votação e consenso,Uma vez por mês,Não sei dizer,Sim,"O membro da sociedade protetora dos animais tem o mesmo dever na comissão. Todas as relatorias são discutidas e deliberadas em consenso, onde todos têm o direito de expressar suas opiniões e retirar dúvidas em relação às questões relacionadas ao uso dos animais.",6,Sim,Acho importante porque a formação acadêmica de nível superior aproxima o relator à realidade do uso de animais em uma instituição de ensino e pesquisa.,1,Pesquisador(a),7,Ciências Biológicas,Ciências Biológicas,Pós doutorado,"Testes toxicológicos, Pesquisa básica, Pesquisa aplicada",Vice-coordenador,4,Acima de 4 anos,5,Desde 2016,1,1,1,Etologia,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Bem-estar animal,4,3,Frequentemente,5,3,Não,"Não acho que seja mal porque nos processos de experimentação são seguidos os protocolos de ética e bem estar animal, não sendo cometida nenhuma maldade com os animais experimentais. A sociedade só avançou na ciência graças aos experimentos com animais.",1,0,"Em primeiro lugar nem toda experimentação animal implica em sofrimento, por isso que eu discordo desta afirmação. Segundo que toda experimentação tem uma justificativa para sua realização, onde está presente a importância e necessidade de realização deste determinado experimento.",3,"Produção de alimentos/agropecuária, Testes de cosméticos e produtos de higiene pessoal, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Esportes, Zoológico, Pesquisas agropecuárias",0,Sim,Objetos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Sim,Nunca,5,Deveria ter mais atividades de capacitação e treinamento dos membros das CEUAS principalmente com relação aos protocolos metodológicos e também a respeito das legislações vigentes.
55,True,Entre 51 e 60 anos,Feminino,Sul,RS,Canoas,Ateismo ou agnosticismo,1,Não,,CEUA ulbra,ULBRA,Universidade Luterana do Brasil,Pós graduação e pesquisa,Privada,"Sim, titular e suplente",Entre 10 e 14,Não sei dizer,1,Raramente,Raramente,Votação e consenso,Uma vez por mês,Sim,Não,"A relatoria requer conhecimento sobre uso ético de animais na pesquisa, algumas vezes o representante simplesmente é contra o uso de animais, não havendo uma avaliação adequada da metodologia e justificativas, levando ao não aceito do trabalho.",1,Sim,Facilitaria se a formação fosse na área da saúde.,4,Médico(a) Veterinário (a),5,Biologia e medicina veterinária,Ciências Biológicas; Veterinária,Doutorado,"Ensino, RT biotério",Não ocupo nenhuma função administrativa,2,Acima de 4 anos,11,2011,3,2,4,Bem-estar animal,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,"Bem-estar animal, Etologia, Ética em pesquisa, Direitos dos animais",4,4,Raramente,4,5,Não,A experimentação dentro dos preceitos éticos não pode ser encarada como um mal. A experimentação animal é um bem necessário para o desenvolvimento da sociedade.,1,1,"Avaliação da metodologia empregada, justificativa  e objetivos da pesquisa, produção e manutenção  adequada dos animais , treinamento específico do pessoal envolvido no processo, respeito a vida.",2,"Produção de alimentos/agropecuária, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Esportes, Vestuário, Zoológico, Pesquisas agropecuárias",2,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Frequentemente,Nunca,Nunca,Nunca,Sim,Constantemente,5,
56,True,Entre 41 e 50 anos,Feminino,Sul,SC,Florianópolis,Ateismo ou agnosticismo,1,Não,,CEUA/UFSC,UFSC,Universidade Federal de Santa Catarina,Na UFSC somente uma CEUA atende a toda a universidade,Pública,Não há representante da sociedade protetora de animais,20 ou mais,0,0,Raramente,Raramente,Votação e consenso,Uma vez por mês,Sim,Sim,"Sou a favor de todos os membros da CEUA assumirem relatoria, porque independente da capacidade e conhecimento técnico no assunto, devem haver avaliação ética do projeto, onde qualquer membro da sociedade pode ser capaz de fazê-lo.",6,Não,"Pelo motivo semelhante à resposta anterior, acredito que independente da capacidade e conhecimento técnico no assunto, devem haver avaliação ética do projeto, onde qualquer membro da sociedade pode ser capaz de fazê-lo. Um título acadêmico não reflete diretamente na capacidade de avaliação de projetos.",3,Médico(a) Veterinário (a),5,Medicina veterinária,Veterinária,Pós doutorado,"Ensino, Pesquisa básica",Coordenador,1,Acima de 4 anos,6,6 anos,2,2,5,Ética animal,"Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa","Bem-estar animal, Etologia, Ética em pesquisa",Nenhuma dessas disciplinas,"Bem-estar animal, Etologia, Ética animal, Filosofia moral, Direitos dos animais",4,5,Frequentemente,3,1,Não sei dizer,"Não sei dizer se é um mal necessário porque apesar de haver uma enormidade de métodos alternativos, muitos estudos ainda são dependentes do modelo animal. Se houvesse o total banimento do uso de animais nesse momento, não há como prever o impacto dessa decisão no futuro.",6,5,"O projeto deve atender (responder positivamente) aos seguintes critérios: 1) não há nenhum modelo alternativo ao animal? não havendo alternativa, 2) O benefício (ao humano ou animal) será maior que o dano? (na minha opinião essa é a avaliação mais difícil, pela dificuldade de se avaliar um benefício potencial, em termos de gerações que serão beneficiadas e outras pesquisas  que resultariam dessa e outros benefícios indiretos...), 3) havendo benefício, o mesmo justifica o dano? Se sim, outras questões como nenhum dano desnecessário e limites superiores de danos devem ser estabelecidos.",3,"Produção de alimentos/agropecuária, Pesquisa básica, Pesquisa aplicada, Ensino, Pesquisas agropecuárias",3,Não,Sujeitos de pesquisa,,3,Nunca,Constantemente,Raramente,Raramente,Constantemente,Frequentemente,Frequentemente,Sim,Constantemente,4,"Minha percepção é de que as CEUAs fazem discussão de controle de uso de animais e menos discussão ética no uso de animais. Os projetos enviados à CEUA da minha instituição geralmente ficam com pendências e retornam ao pesquisador e algumas vezes se reduz o número de animais, se melhora do desenho experimental, se inclui refinamentos... mas nunca vi um projeto ser reprovado. Portanto, me parece que fica muito à critério do pesquisador responder a pergunta primordial: é imprescindível o uso de animais?"
57,True,Entre 51 e 60 anos,Feminino,Sudeste,ES,Colatina,Catolicismo,2,Não,,CEUA UNESC,UNESC,Centro universitario do Espirito Santo,Centro Universitario do Espirito santo,Privada,"Sim, titular e suplente",Entre 5 e 9,3,1,Raramente,Raramente,Votação e consenso,Uma vez por mês,Não,Não tenho opinião sobre isso,"As relatorias são realizadas pelos membros da Ceua, que são pesquisadores e conhecem os protocolos a e as normas inerentes a estes.",4,Não,Não há necessidade mas precisam estar cientes juntamente com os outros membros das responsabilidades e do conhecimento de leis e Normativas do CONCEA.,3,Médico(a) Veterinário (a),5,Medica veterinária,Veterinária,Doutorado,"Ensino, Pesquisas agropecuárias",Coordenador,1,Acima de 4 anos,9,9anos,5,3,3,"Ética animal, Direitos dos animais","Bioética, Ética animal, Ética em pesquisa","Bem-estar animal, Bioética, Ética animal, Ética em pesquisa",Não fiz essa modalidade acadêmica,"Bem-estar animal, Bioética, Etologia, Ética em pesquisa, Direitos dos animais",4,4,Raramente,3,5,Não sei dizer,Há necessidade mas não em todos os protocolos e ou pesquisas,5,1,"O conhecimento das implicações da pesquisa, conhecimento de Ética, bem Estar Animal, Etologia e Bioética.",1,"Produção de alimentos/agropecuária, Pesquisa aplicada, Ensino, Zoológico, Pesquisas agropecuárias",1,Não,Espécies animais,importante,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Não,Não tenho opinião sobre isso,4,
58,True,Entre 31 e 40 anos,Feminino,Sul,RS,Uruguaiana,Protestante - luterana,3,Não,,CEUA-Unipampa,UNIPAMPA,Universidade Federal do Pampa,"Pró-Reitoria de Pós-graduação, Pesquisa e Inovação (PROPPI)",Pública,"Sim, apenas titular",Entre 15 e 19,6,0,Raramente,Raramente,Só consenso,Uma vez por mês,Não,Não,"Normalmente o representante da SPA não tem o conhecimento necessário sobre método científico, pesquisa, etc. para analisar um protocolo (nem sempre se consegue um representante com curso superior). Também já tivemos problema de baixa participação do representante, o que compromete a análise do protocolo em reunião. Mas, no caso da CEUA utilizar dois relatores por protocolo, ou caso o representante possua curso superior, acredito que seja possível ele assumir a relatoria.",3,Sim,"Os protocolos possuem um grau de detalhamento muito técnico em termos de procedimentos com os animais, experimentação, método científico, etc. Assim, caso o representante não possua nível superior, fica mais difícil o entendimento dos objetivos do protocolo e, consequentemente, a correta análise deste.",1,Docente,3,Zootecnia,Zootecnia,Doutorado,Pesquisas agropecuárias,Coordenador,1,De 2 anos a 2 anos e meio,2.25,,2,1,1,Etologia,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,"Bem-estar animal, Etologia, Ética animal, Ética em pesquisa",4,5,Raramente,5,5,Não,"Considerar a experimentação animal um ""mal"" induz ao pensamento equivocado de que utilizar modelos animais, por si só, é errado. Desconsidera todos o esforço realizado ao longo dos anos para o avanço na saúde (humana e animal) e na produção de alimentos e o papel fundamental que estes modelos tem. Nenhum pesquisador usa animais só ""por gosto"" (não é barato, exige atendimento diário, é exaustivo..). É preciso que comecemos a reconhecer e valorizar a pesquisa com animais como um ""bem necessário"", pois sem a experimentação animal a humanidade não teria avançado como avançou.",1,1,"É importante levar em consideração o objetivo, justificativa e relevância do protocolo.",2,"Produção de alimentos/agropecuária, Testes de cosméticos e produtos de higiene pessoal, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Esportes, Vestuário, Pesquisas militares, Zoológico, Pesquisas agropecuárias",2,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Sim,Nunca,4,
59,True,Entre 31 e 40 anos,Feminino,Norte,TO,Palmas,Espiritismo,4,Não,,CEUA da Embrapa Pesca e Aquicultura,EMBRAPA_CNPASA,Embrapa Pesca e Aquicultura,Embrapa Pesca e Aquicultura,Pública,"Sim, apenas titular",Entre 5 e 9,Não sei dizer,Não sei dizer,Raramente,Raramente,Votação e consenso,Uma vez a cada dois meses,Não,Não tenho opinião sobre isso,Não tenho opinião formada a respeito.,0,Sim,Para a mínima compreensão dos processos de pesquisas,1,Pesquisador(a),7,Engenharia de Pesca e Licenciada em Ciências Agrícolas,Pesca; Ciências Agrárias,Mestrado,Pesquisas agropecuárias,Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,4,3,2,Filosofia moral,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,4,4,Raramente,5,3,Sim,"Alguns estudos precisam ser realizados com os animais, de forma a termos a reposta correta. Por exemplo, efeito de alimentos no crescimento, etc.",8,0,Não entendi a resposta que se espera da questão,0,"Produção de alimentos/agropecuária, Pesquisa básica, Pesquisa aplicada, Vestuário, Pesquisas agropecuárias",1,Não,Não sei dizer,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Raramente,Nunca,Sim,Não tenho opinião sobre isso,3,
